tier,n_reviews,doi,title,authors,journal,year,volume,page,type,citations,publisher,target_folder
A,4,10.1109/tie.2018.2835393,A VEN Condition Monitoring Method of DC-Link Capacitors for Power Converters,Wu Yu; Du Xiong,IEEE Transactions on Industrial Electronics,2019,66,1296-1306,journal-article,103,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/tpel.2019.2951859,Condition Monitoring of DC-Link Capacitors Using Goertzel Algorithm for Failure Precursor Parameter and Temperature Estimation,Sundararajan Prasanth; Sathik Mohamed Halick Mohamed; Sasongko Firman; Tan Chuan Seng et al.,IEEE Transactions on Power Electronics,2020,35,6386-6396,journal-article,97,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/tpel.2018.2890617,An Online ESR Estimation Method for Output Capacitor of Boost Converter,Ren Lei; Gong Chunying; Zhao Yao,IEEE Transactions on Power Electronics,2019,34,10153-10165,journal-article,85,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/tia.2002.802922,The service life of large aluminum electrolytic capacitors: effects of construction and application,Stevens J.L.; Shaffer J.S.; Vandenham J.T.,IEEE Transactions on Industry Applications,2002,38,1441-1446,journal-article,84,IEEE Xplore,02_Failure_Physics
A,4,10.1049/ip-epa:20050027,Online capacitance estimation of DC-link electrolytic capacitors for three-phase AC/DC/AC PWM converters using recursive least squares method,Lee D.-C.; Lee K.-J.; Seok J.-K.; Choi J.-W.,IEE Proceedings - Electric Power Applications,2005,152,1503-1508,journal-article,80,IET,03_CM_ParameterEstimation
A,4,10.1109/tpel.2018.2857832,Reference Submodule Based Capacitor Monitoring Strategy for Modular Multilevel Converters,Deng Fujin; Wang Qingsong; Liu Dong; Wang Yanbo et al.,IEEE Transactions on Power Electronics,2019,34,4711-4721,journal-article,80,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/apex.2007.357646,Real-Time Condition Monitoring of the Electrolytic Capacitors for Power Electronics Applications,Imam Afroz M.; Divan Deepak M.; Harley Ronald G.; Habetler Thomas G.,APEC 07 - Twenty-Second Annual IEEE Applied Power Electronics Conference and Exposition,2007,,1057-1061,proceedings-article,78,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/ecce.2014.6953683,Condition monitoring of submodule capacitors in modular multilevel converters,Jo Yun-Jae; Nguyen Thanh Hai; Lee Dong-Choon,2014 IEEE Energy Conversion Congress and Exposition (ECCE),2014,,2121-2126,proceedings-article,70,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/tpel.2017.2762341,Noninvasive Technique for DC-Link Capacitance Estimation in Single-Phase Inverters,Ahmad Md. Waseem; Kumar P. Nandha; Arya Abhinav; Anand Sandeep,IEEE Transactions on Power Electronics,2018,33,3693-3696,journal-article,66,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/tpel.2019.2917937,Condition Monitoring for Submodule Capacitors in Modular Multilevel Converters,Wang Hanyu; Wang Huai; Wang Zhongxu; Zhang Yi et al.,IEEE Transactions on Power Electronics,2019,34,10403-10407,journal-article,59,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/tim.2009.2019719,Condition Monitoring of Metallized Polypropylene Film Capacitors in Railway Power Trains,Buiatti Gustavo Malagoni; MartÍn-Ramos Juan A.; Amaral AcÁcio M. R.; Dworakowski Piotr et al.,IEEE Transactions on Instrumentation and Measurement,2009,58,3796-3805,journal-article,55,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/tie.2018.2880725,Health Estimation of Individual Capacitors in a Bank With Reduced Sensor Requirements,Gupta Yugal; Ahmad Md. Waseem; Narale Sagar; Anand Sandeep,IEEE Transactions on Industrial Electronics,2019,66,7250-7259,journal-article,51,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/tim.2017.2749838,Noninvasive Online Condition Monitoring of Output Capacitor’s ESR and C for a Flyback Converter,Yao Kai; Cao Cheng; Yang Siwen,IEEE Transactions on Instrumentation and Measurement,2017,66,3190-3199,journal-article,46,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/isie.2007.4374704,Using Newton-Raphson Method to Estimate the Condition of Aluminum Electrolytic Capacitors,Amaral Acacio M. R.; Cardoso A. J. Marques,2007 IEEE International Symposium on Industrial Electronics,2007,,827-832,proceedings-article,35,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/jsen.2019.2945943,Online Monitoring of Aluminum Electrolytic Capacitors in Photovoltaic Systems by Magnetoresistive Sensors,Miao Wenchao; Lam K. H.; Pong Philip W. T.,IEEE Sensors Journal,2020,20,767-777,journal-article,34,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/jsen.2019.2929537,Condition Monitoring of Electrolytic Capacitors in Boost Converters by Magnetic Sensors,Miao Wenchao; Liu Xuyang; Lam K.H.; Pong Philip W. T.,IEEE Sensors Journal,2019,19,10393-10402,journal-article,33,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1109/iecon.2008.4758011,An automatic technique to obtain the equivalent circuit of aluminum electrolytic capacitors,Amaral A.M.R.; Cardoso A.J.M.,2008 34th Annual Conference of IEEE Industrial Electronics,2008,,539-544,proceedings-article,29,IEEE Xplore,03_CM_ParameterEstimation
A,4,10.1049/iet-pel.2016.0603,Capacitor impedance estimation utilizing dc‐link voltage oscillations in single phase inverter,Arya Abhinav; Ahmad Md. Waseem; Agarwal Nikunj; Anand Sandeep,IET Power Electronics,2017,10,1046-1053,journal-article,22,IET,03_CM_ParameterEstimation
A,4,10.1049/iet-pel.2018.5394,"Online estimation scheme of output capacitor's ESR and tan
                    δ
                    for Buck converter",Ren Lei; Gong Chunying,IET Power Electronics,2019,12,2978-2986,journal-article,15,IET,03_CM_ParameterEstimation
A,4,10.1109/demped.2009.5292791,Using input current and output voltage ripple to estimate the output filter condition of switch mode DC/DC converters,Amaral A. M. R.; Cardoso A. J. M.,"2009 IEEE International Symposium on Diagnostics for Electric Machines, Power Electronics and Drives",2009,,1-6,proceedings-article,11,IEEE Xplore,03_CM_ParameterEstimation
B,3,10.1049/iet-pel.2011.0163,"On-line fault detection of aluminium electrolytic capacitors, in step-down DC–DC converters, using input current and output voltage ripple",Amaral A.M.R.; Cardoso A.J.M.,IET Power Electronics,2012,5,315-322,journal-article,107,IET,03_CM_ParameterEstimation
B,3,10.1109/tpel.2015.2496267,An Online Monitoring Scheme of DC-Link Capacitor's ESR and C for a Boost PFC Converter,Yao Kai; Tang Weijie; Bi Xiaopeng; Lyu Jianguo,IEEE Transactions on Power Electronics,2016,31,5944-5951,journal-article,77,IEEE Xplore,03_CM_ParameterEstimation
B,3,10.1109/tdmr.2006.876612,Linking Corrosion and Catastrophic Failure in Low-Power Metallized Polypropylene Capacitors,Brown R.W.,IEEE Transactions on Device and Materials Reliability,2006,6,326-333,journal-article,76,IEEE Xplore,02_Failure_Physics
B,3,10.1109/tie.2017.2674598,Low-Frequency Impedance Monitoring and Corresponding Failure Criteria for Aluminum Electrolytic Capacitors,Ahmad Md. Waseem; Agarwal Nikunj; Kumar P. Nandha; Anand Sandeep,IEEE Transactions on Industrial Electronics,2017,64,5657-5666,journal-article,73,IEEE Xplore,03_CM_ParameterEstimation
B,3,10.1109/tie.2016.2582470,Online Monitoring Technique for Aluminum Electrolytic Capacitor in Solar PV-Based DC System,Ahmad Md Waseem; Agarwal Nikunj; Anand Sandeep,IEEE Transactions on Industrial Electronics,2016,63,7059-7066,journal-article,72,IEEE Xplore,03_CM_ParameterEstimation
